edge_id,source_id,target_id,edge_type,source_path,attributes_json
edge:bbfadeeddd70b83a,policy_indicator:1.4.1,sdg_target:1.4,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:bc11efdf629bff5d,asdi:ASDI.120,sdg:14,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG14""}"
edge:bc8729442a2732e7,file:790921ce62f6e811,asdi:ASDI.50,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:bd2005c1af18401d,track:part-i,file:93e02806c48084dc,CONTAINS_FILE,Public Policies Tables/07 Tabla B7.xlsx,"{""role"":""public_policy_input""}"
edge:bd32272ffd7949e3,asdi:ASDI.45,dataset_type:climate,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:bd674021e7cf2d1e,asdi:ASDI.19,dataset_type:weather,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:bd93821b6e357ce7,policy_indicator:14.c.1,sdg_target:14.c,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:bdb7ea9f8d45abb1,sdg_target:1.4,sdg:1,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:bdc39ca1b09f7215,sdg_target:15.6,sdg:15,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:bdfe0c32345c90dc,file:4f7c289bfa5e3248,policy_indicator:3.9.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:be70d8d7c5e3c9a7,sdg_target:17.4,sdg:17,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:bea423ff3b739f31,asdi:ASDI.18,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:bee5902123d39891,file:4f7c289bfa5e3248,policy_indicator:3.4.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:beeea87388c19027,file:4f7c289bfa5e3248,policy_indicator:9.a.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:bf639fe7ed8f4bc5,sdg_target:17.16,sdg:17,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:bfb6467978c4f0c9,file:4f7c289bfa5e3248,policy_indicator:11.3.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c00ac4f14fd68b12,file:4f7c289bfa5e3248,policy_indicator:5.1.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c07b3d4dfc64b3a0,file:790921ce62f6e811,asdi:ASDI.9,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c0ab6c2f84e832ef,track:part-i,file:b918a9e0c7953d69,CONTAINS_FILE,Public Policies Tables/28 Tabla B28.xlsx,"{""role"":""public_policy_input""}"
edge:c103f1d178cbba82,sdg_target:13.a,sdg:13,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:c117dbc7692d3029,asdi:ASDI.64,dataset_type:satellite imagery,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c1555f54b4ba2e55,policy_indicator:13.3.1,sdg_target:13.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c1c0781d6344ce7b,policy_indicator:13.2.2,sdg_target:13.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c1eb0771b10b093f,asdi:ASDI.46,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
