gbifid,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,decimallatitude,decimallongitude,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,location,address.17
2307581920,HM434415,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Heterospilus,,,GENUS,"Heterospilus Haliday, 1836",Heterospilus sp. BOLD:AAI1734,,MX,"Mexico:Jalisco, La Huerta, Costa Sur, Chamela, Fundacion Cuixmala, El sendero",,PRESENT,,19.42,-104.97,,,,,40063,7,9,2009,1272344,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"H. Clebsch, A. Zaldivar",,,44285.266,"19.42, -104.97",Jalisco
2307680939,KP724131,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita hayalyuy,,SPECIES,Amanita hayalyuy D.Arora & G.H.Shepard,Amanita aff. hayalyuy ABM041,,MX,"Mexico:Hidalgo, San Miguel El Cerezo",,PRESENT,,20.17,-98.72,,,,,,,,,7374087,7374087,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26601,"20.17, -98.72",Hidalgo
2307813526,LN887148,Animalia,Arthropoda,,Araneae,Agelenidae,Eratigena,Eratigena caverna,,SPECIES,"Tegenaria caverna Gertsch, 1971",Tegenaria caverna,,MX,Mexico:Queretaro,,PRESENT,,21.2187,-99.6917,,,,,41926,14,10,2014,5168669,9494549,PRESERVED_SPECIMEN,,,,,"Bolzern, A.",,CC_BY_4_0,,"Bolzern, A., Gonzalez Santillan, E.",,,44285.26559,"21.2187, -99.6917",Querétaro
2308023333,LN887160,Animalia,Arthropoda,,Araneae,Agelenidae,Eratigena,,,GENUS,"Eratigena Bolzern, Burckhardt & Hänggi, 2013",Eratigena sp. 3 AB-2015,,MX,Mexico:Puebla,,PRESENT,,18.3781,-97.0542,,,,,41919,7,10,2014,7519314,,PRESERVED_SPECIMEN,,,,,"Bolzern, A.",,CC_BY_4_0,,"Bolzern, A., Gonzalez Santillan, E.",,,44285.26602,"18.3781, -97.0542",Puebla
2308059479,KR400109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer mexicanus,,SPECIES,"Ensifer mexicanus Lloret et al., 2011",Ensifer mexicanus,,MX,Mexico,,PRESENT,,18.5177,-98.9507,,,,,40909,1,1,2012,7734097,7734097,MATERIAL_SAMPLE,,,,,,,CC_BY_4_0,,,,,44285.26602,"18.5177, -98.9507",Morelos
2308073608,KX180636,Chromista,Myzozoa,Aconoidasida,Haemospororida,Plasmodiidae,Plasmodium,,,GENUS,"Plasmodium Marchiafava & Celli, 1885",Plasmodium vivax,,MX,"Mexico:Chiapas, Tapachula",,PRESENT,,15.03,-92.22,,,,,39966,2,6,2009,8364053,,MATERIAL_SAMPLE,,,,,,,CC_BY_4_0,,,,,44285.26602,"15.03, -92.22",Chiapas
2308073941,MG448836,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma,Cladopelma forcipis,,SPECIES,"Cladopelma forcipis (Rempel, 1939)",Cladopelma forcipis,,MX,"Mexico:Quintana Roo, Bacalar Lake, Cocalitos Sinkhole",,PRESENT,,18.65,-88.41,,,,,42599,17,8,2016,1450719,1450719,PRESERVED_SPECIMEN,,,,,Manuel Elias-Gutierrez,,CC_BY_4_0,,Manuel Elias-Gutierrez & Jose Angel Cohuo Colli,,,44285.26602,"18.65, -88.41",Quintana Roo
2308097684,HQ980723,Animalia,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma aztecum,,SPECIES,"Lepidostoma aztecum Flint & Bueno-Soria, 1977",Lepidostoma aztecum,,MX,Mexico:Hidalgo,,PRESENT,,20.13,-98.53,,,,,40371,12,7,2010,5054566,5054566,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"A. Contreras, M. Sarmiento, G. Garcia, M. Zurita, M.Razo",,,44285.26562,"20.13, -98.53",Hidalgo
2308103479,MH050400,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,Psilocybe yungensis,,SPECIES,Psilocybe yungensis Singer & A.H.Sm.,Psilocybe yungensis,,MX,"Mexico:Veracruz, Mpio de Acajete, El Zapotal",,PRESENT,,19.51,-97.01,1761,,,,42194,9,7,2015,7243309,7243309,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,Alan Rockefeller,,,44285.26602,"19.51, -97.01",Veracruz
2308110976,GU806916,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia mexicana,,SPECIES,"Poecilia mexicana Steindachner, 1863",Poecilia mexicana,,MX,Mexico,,PRESENT,,26.46,-100.88,,,,,39678,18,8,2008,8400492,8400492,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,Alberto Contreras-Arquieta,,,44285.26603,"26.46, -100.88",Nuevo León
2308241601,MH143459,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Enantia,Enantia mazai,,SPECIES,"Enantia mazai Llorente-Bousquets, 1984",Enantia mazai,,MX,"Mexico:Veracruz, Colonia Alvaro Obregon",,PRESENT,,19.41,-96.97,,,,,41888,6,9,2014,5137564,5137564,PRESERVED_SPECIMEN,,,,,Jovana Jasso-Martinez,,CC_BY_4_0,,"Jovana Magdalena Jasso Martinez, Arturo Arellano Covarrubias and Moises Armando Luis Martinez",,,44285.26603,"19.41, -96.97",Veracruz
2308336994,KX180322,Chromista,Myzozoa,Aconoidasida,Haemospororida,Plasmodiidae,Plasmodium,,,GENUS,"Plasmodium Marchiafava & Celli, 1885",Plasmodium vivax,,MX,"Mexico:Chiapas, Tapachula",,PRESENT,,15.04,-92.24,,,,,39965,1,6,2009,8364053,,MATERIAL_SAMPLE,,,,,,,CC_BY_4_0,,,,,44285.2656,"15.04, -92.24",Chiapas
2308354769,MF741972,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Mayaheros,Mayaheros urophthalmus,,SPECIES,"Cichlasoma urophthalmum (Günther, 1862)",Cichlasoma urophthalmum,,MX,Mexico,,PRESENT,,18.53,-88.33,,,,,,,,,5852971,9539561,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,Javier Barrientos,,,44285.26604,"18.53, -88.33",Quintana Roo
2308486156,JQ000963,Animalia,Arthropoda,,Sarcoptiformes,Histiostomatidae,Bonomoia,,,GENUS,"Bonomoia Oudemans, 1911",Bonomoia sp. AD653,,MX,Mexico,,PRESENT,,23.88,-105.1,,,,,38149,11,6,2004,4651933,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,P. Klimov,,,44285.26604,"23.88, -105.1",Durango
2308643412,KT317468,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,Ostrea conchaphila,,SPECIES,"Ostrea conchaphila Carpenter, 1857",Ostrea conchaphila,,MX,"Mexico:Baja California Sur, Bahia Concepcion",,PRESENT,,26.76,-111.89,,,,,,,,,2286061,2286061,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,M. Raith,,,44285.26605,"26.76, -111.89",Baja California Sur
2308646248,HM434446,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Heterospilus,,,GENUS,"Heterospilus Haliday, 1836",Heterospilus sp. BOLD:AAI1747,,MX,"Mexico:Jalisco, La Huerta, Costa Sur, Estacion de Biologia Chamela, camino Calandria",,PRESENT,,19.5,-105.03,,,,,40063,7,9,2009,1272344,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"H. Clebsch, A. Zaldivar",,,44285.26561,"19.5, -105.03",Jalisco
2308754428,KU203000,Animalia,Arthropoda,,Sarcoptiformes,Proctophyllodidae,Proctophyllodes,,,GENUS,"Proctophyllodes Mégnin, 1877",Proctophyllodes dendroicae,,MX,Mexico,,PRESENT,,18.58,-95.07,,,,,39568,30,4,2008,4405309,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,P. Klimov,,,44285.26564,"18.58, -95.07",Veracruz
2308922377,KJ025583,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hermeuptychia,Hermeuptychia hermybius,,SPECIES,"Hermeuptychia hermybius Grishin, 2014",Hermeuptychia hermybius,,MX,"USA:Texas, Starr County, 0.5 mi south of Fronton, elevation 50 m",,PRESENT,,26.4,-99.08,,,,,41567,20,10,2013,9208918,9208918,PRESERVED_SPECIMEN,,,,,N. V. Grishin,,CC_BY_4_0,,William R. Dempwolf,,,44285.26605,"26.4, -99.08",Tamaulipas
2308929398,KF752952,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes chrysogenys,,SPECIES,"Melanerpes chrysogenys (Vigors, 1839)",Melanerpes chrysogenys,,MX,"Mexico:Frac Laguna Nuxco, Guerrero",,PRESENT,,17.2,-100.8,,,,,,,,,2478102,2478102,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26605,"17.2, -100.8",Guerrero
2308975784,MF442177,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira parvidens,,SPECIES,"Sturnira parvidens Goldman, 1917",Sturnira parvidens,,MX,Mexico,,PRESENT,,23.16,-104.54,,,,,,,,,7769716,7769716,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26564,"23.16, -104.54",Durango
2308995304,DQ433146,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,Psaltriparus minimus,,SPECIES,"Psaltriparus minimus (J.K.Townsend, 1837)",Psaltriparus minimus,,MX,Mexico:Queretaro,,PRESENT,,20.38,-100.23,,,,,,,,,2494988,2494988,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26606,"20.38, -100.23",Querétaro
2309070796,HM434365,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Heterospilus,,,GENUS,"Heterospilus Haliday, 1836",Heterospilus sp. BOLD:AAA4601,,MX,"Mexico:Jalisco, La Huerta, Costa Sur, Estacion de Biologia Chamela, camino Buho-Chachalaca",,PRESENT,,19.5,-105.04,,,,,39987,23,6,2009,1272344,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"H. Clebsch, A. Zaldivar, A. Polaszek",,,44285.26565,"19.5, -105.04",Jalisco
2309222913,KP779522,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys chapmani,,SPECIES,"Handleyomys chapmani (Thomas, 1898)",Handleyomys chapmani,,MX,"Mexico:Veracruz, 300 M NW of Cascadas De Texolo, 1.5 Km SE of Xico",,PRESENT,,19.4,-96.99,,,,,,,,,5786938,2438077,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26606,"19.4, -96.99",Veracruz
2309224083,KP778427,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys rostratus,,SPECIES,"Handleyomys rostratus (Merriam, 1901)",Handleyomys rostratus,,MX,"Mexico:Yucatan, Cenote Seco, 2 Km E of Chichen Itza",,PRESENT,,20.68,-88.55,,,,,,,,,5786940,2438109,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26607,"20.68, -88.55",Yucatán
2309308990,HQ926110,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Neoheterospilus,Neoheterospilus chamelae,,SPECIES,Neoheterospilus chamelae,Neoheterospilus chamelae,,MX,"Mexico:Jalisco, La Huerta, Costa Sur, Estacion de Biologia Chamela, junto al laboratorio",,PRESENT,,19.5,-105.04,,,,,40400,10,8,2010,9170877,9170877,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"Alejandro Zaldivar-Riveron, Valeria Berenice Salinas Ramos, Mario Garcia Paris, Vladimir Salvador De Jesus Bonilla",,,44285.26563,"19.5, -105.04",Jalisco
